N,P,K,temperature,humidity,ph,rainfall,label
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,coffee
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
69,57,35,24.30748599,78.54340987,6.1868143920000005,186.2337571,jute
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil
112,25,51,25.04746944,85.5667282,6.932537231,56.72496677,watermelon
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea
17,136,196,23.87192332,90.49939035,5.882155987999999,103.05480940000001,apple
0,145,205,21.22503442,90.09877774,5.52078314,113.9760462,apple
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
38,21,35,20.33691147,89.38003827,5.841367187,110.96531370000001,pomegranate
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
8,28,30,25.51618488,94.33465411,6.015672239,135.1272491,coconut
107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana
11,71,24,21.14011423,22.718235500000002,5.6066203460000015,141.6056722,kidneybeans
72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,jute
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,muskmelon
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
87,6,45,29.82729394,90.79007335,6.40077205,22.84203589,muskmelon
32,68,19,24.62835037,18.18325169,5.514234138,149.7441028,kidneybeans
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,kidneybeans
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
74,35,40,26.49109635,80.15836264,6.980400905,242.86403419999996,rice
116,40,33,24.91370487,54.15319242,7.042089492000001,129.5481144,coffee
104,47,18,23.965634899999998,76.97696717,7.633437412,90.75616738,cotton
27,22,29,28.83214859,92.17170353,6.000248647,145.41723869999996,coconut
26,56,22,23.05276444,60.424786,7.011121216,52.60285259,lentil
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,grapes
28,37,28,32.13409675,50.52559148,6.097869767000001,98.63333684,mango
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,pigeonpeas
18,23,8,21.49118657,93.43949693,6.41354791,101.4819888,orange
25,27,41,19.20090378,94.27659596,6.9235093710000015,108.0423555,pomegranate
49,55,51,24.87212063,93.90560147,6.676578778,135.16945249999998,papaya
70,68,55,42.84609252,94.63548176,6.691202286,78.80996390000001,papaya
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
25,143,198,22.81212536,91.51861705,6.027314401,107.855225,apple
85,21,52,29.62800691,90.10051615,6.0751441160000015,23.69586761,muskmelon
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,watermelon
21,39,20,27.06179658,52.300317299999996,7.388007482999999,60.74583498,mothbeans
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,mothbeans
10,79,18,21.0643684,55.46985938,5.624731337999999,184.6226709,pigeonpeas
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
103,33,25,27.10210397,55.74973320000001,6.911066044,139.5013171,coffee
29,140,195,23.64082979,90.95257927,5.560521058,116.74313190000001,apple
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
31,26,9,11.69894639,93.25638873,7.566165721,103.20059920000001,orange
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,apple
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute
16,6,29,29.28725038,91.95614918,5.868285082000001,132.1491176,coconut
34,65,48,41.41968393,90.03863107,6.665024507999999,199.30964319999998,papaya
29,22,43,19.66329768,87.95158129,5.561851831,106.03808049999999,pomegranate
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,kidneybeans
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,mothbeans
26,51,25,28.76488954,52.62741529,7.792508067999999,55.21606732,mothbeans
57,64,55,26.68386496,92.95854109999999,6.583760498999999,62.50689682,papaya
0,36,26,34.13072188,51.25786185,5.101206389,96.38808001,mango
36,65,16,25.71269843,64.1123333,7.692013657,50.17067771,lentil
23,75,25,31.07508973,47.19847683,7.077170002000001,91.31256412,pigeonpeas
8,38,32,29.75150773,46.73723302,4.981816523,91.40598299999999,mango
31,29,35,27.1872282,92.19906776,6.137102505,141.3220576,coconut
3,27,44,24.56811204,92.03009222,6.591302797000001,110.96338940000001,pomegranate
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea
28,69,16,29.77013109,66.29327012,6.547361617999999,35.69674138,lentil
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
25,21,11,32.23797837,90.15406807,6.460044777999999,104.7052254,orange
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,jute
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,cotton
9,8,40,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
31,68,45,42.92325255,90.07600528,6.938313356,196.2408242,papaya
21,20,31,25.60033702,99.72401040000001,5.855457599,165.82487319999996,coconut
65,54,39,23.75091572,71.14782585,7.124571593,160.0889553,jute
3,72,24,36.51268371,57.92887167,6.03160778,122.65396940000001,pigeonpeas
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean
6,124,200,22.98208095,93.84505029,5.971332179,109.5852253,apple
79,42,37,24.87300744,82.84022551,6.587918707999999,295.60944920000014,rice
83,21,28,25.567483199999998,60.49244602,7.4669006829999995,190.22578430000002,coffee
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea
1,66,23,19.54317155,56.92831399,4.803564468,173.1686574,pigeonpeas
20,50,22,30.99694676,46.42693735,9.406887532999999,38.31597852,mothbeans
105,14,50,26.2148837,87.68839820000002,6.419052193,59.65590798,watermelon
52,71,16,27.74274761,68.53997144,7.0758864720000005,71.78615328,blackgram
118,18,32,27.6496114,51.11044023,6.3518237829999995,122.8392822,coffee
99,15,27,27.0424167,57.27927475,6.5011572079999995,165.6872119,coffee
19,26,29,26.93141945,98.80313612,5.67154928,166.5712879,coconut
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean
32,25,35,18.09903225,85.70786282,5.892913826,107.0050976,pomegranate
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,jute
11,34,32,29.14305008,49.40983294,6.831706773,97.55155537,mango
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
98,8,51,26.179346399999996,86.52258079,6.25933595,49.43050977,watermelon
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon
102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,coffee
89,25,34,23.07895447,63.65861483,7.184801627000001,129.8765443,coffee
119,30,49,25.35794749,80.45846265,6.903020221,47.72078245,watermelon
21,139,201,19.3642553,83.36094029,5.980598579,67.15094741,grapes
40,49,47,42.93368602,91.1756748,6.501521192,246.36132680000003,papaya
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
92,40,30,23.35723208,55.18792166,6.026287448,171.6976946,coffee
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,jute
20,8,12,25.2990432,94.96419851,7.260416405,117.9733424,orange
111,5,47,28.03306461,91.47355778,6.2744528110000015,21.17924769,muskmelon
24,63,19,19.347944299999998,55.96805489,4.681576043,194.5921148,pigeonpeas
27,59,22,21.81167649,23.20591245,5.794158503999999,130.0608093,kidneybeans
21,63,17,15.77370214,19.230316199999997,5.979973965,108.34414140000001,kidneybeans
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
13,28,33,28.130115000000004,95.64807631,5.686972967000001,151.0761899,coconut
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon
109,12,48,29.45771748,92.12534736,6.708743843,20.76212031,muskmelon
91,21,26,26.33377983,57.36469955,7.261313694,191.65494119999997,coffee
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
48,62,15,25.36586097,66.6379724,7.538631462000001,65.81655892,blackgram
20,60,25,27.325420899999997,69.09047809,6.726469087999999,61.19250859,blackgram
15,36,27,27.78912455,53.96886679,5.6437102160000014,91.01152997,mango
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice
0,55,22,22.98666928,20.57940608,5.916779289,143.85849380000005,kidneybeans
81,34,30,25.17787724,62.26244581,6.6477659970000005,135.0119649,coffee
40,22,29,27.55821802,99.98187601,5.735364307,174.62564809999995,coconut
110,25,54,28.91105641,90.78413842,6.425930938,23.44398467,muskmelon
28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,apple
98,22,47,29.07265321,91.91533173,6.341400922,28.83568362,muskmelon
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,lentil
54,65,47,27.92765919,91.55594211,6.7218358789999995,149.91075569999995,papaya
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton
113,38,20,22.10718988,78.58320116,6.364729934,74.94136567,cotton
26,9,32,25.949036399999997,94.73860514,6.470465614,144.15711090000005,coconut
0,133,200,23.67287749,90.4935574,5.708418722,104.22980279999999,apple
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
10,79,20,24.98287462,66.895409,6.379881442,38.21370568,lentil
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
15,9,11,11.54785707,94.14861001,7.907956251,108.82891709999998,orange
108,22,46,26.17668721,86.72952049999998,6.121168559,53.33484977,watermelon
36,56,20,25.4123765,49.66474269,7.4370782360000005,31.87416982,mothbeans
39,60,15,35.09357419,30.98685456,5.004074623999999,116.91069080000001,pigeonpeas
22,17,26,28.69818144,47.71875722,4.754435025,99.642454,mango
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,watermelon
30,60,21,28.87667593,62.4901206,5.457871272999999,182.2688175,pigeonpeas
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
25,143,200,23.80436344,92.80441624,6.024248787,100.6192543,apple
63,58,50,43.03714283,94.64288979999999,6.720744449,41.5856585,papaya
28,7,9,34.591784600000004,92.13229786,6.730757538,115.5650287,orange
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,kidneybeans
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,lentil
111,28,26,27.77363343,64.47858698,6.937352845,192.7121236,coffee
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
20,29,10,29.07412717,93.27189064,7.36549204,100.7896871,orange
18,27,41,22.36509395,92.30882391,7.1753443279999995,104.8216333,pomegranate
115,12,52,27.51492243,94.96218673,6.685553129,21.01796432,muskmelon
26,68,24,28.04849594,64.07691942,7.504930973,37.15824966,lentil
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
34,47,19,27.31372793,85.44815232,6.568795403999999,53.15223123,mungbean
120,8,46,29.55657523,90.70937262,6.732834334,28.36535596,muskmelon
111,79,53,28.31193338,75.77363772,6.165001277999999,119.695765,banana
23,59,25,27.826262300000003,88.73100226,6.320768488,56.68833819,mungbean
101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,watermelon
117,86,48,28.6956201,82.54195839,6.225225238999999,116.16168390000001,banana
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
34,21,42,18.75927679,89.93457597,6.648687273999999,111.0196744,pomegranate
32,78,22,23.97081395,62.35557553,7.007037515,53.40906048,lentil
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton
5,8,5,11.03367937,92.22706805,6.562594972,112.77159250000001,orange
63,47,35,26.98582182,89.05587886,7.432768147000001,193.8778713,jute
1,67,21,27.52135365,60.53657684,6.551577598,48.06491307,lentil
16,51,21,31.01963639,49.97675220000001,3.532008668,32.81296548,mothbeans
3,141,197,21.98141856,91.12719303,6.142803397000001,115.4789148,apple
9,57,24,29.89232778,89.71503316,7.1651211089999975,42.99498978,mungbean
6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,apple
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,grapes
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,cotton
101,70,48,25.36059237,75.03193255,6.012696655,116.55314550000001,banana
35,48,15,27.10818093,87.45126690000002,6.981758362000001,55.03723979,mungbean
22,62,16,34.6455408,54.32342534,4.828936119,180.90099980000002,pigeonpeas
30,20,38,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,apple
12,61,19,19.33162606,24.13995025,5.655726817000001,68.51253427,kidneybeans
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean
32,56,18,20.0467711,65.84395319,7.135251532000001,46.05333124,lentil
13,75,20,30.55992394,35.29006485,6.979540061,178.8998611,pigeonpeas
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton
16,75,21,18.50692825,23.61670065,5.679224346,87.05132890000002,kidneybeans
2,21,35,25.02887163,91.53720922,6.293662362999999,179.8248944,coconut
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans
31,56,23,31.46846241,35.39454002,5.661826398,174.5723999,pigeonpeas
30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,apple
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,cotton
30,75,81,19.41789736,16.80472243,6.4084378860000015,68.4951189,chickpea
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,lentil
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
32,129,201,16.36251869,83.00471609,6.48754639,71.55665483,grapes
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,mothbeans
119,19,55,25.18780042,83.44621709,6.818261382999999,46.87420883,watermelon
14,139,197,21.72484506,92.83975602,6.056529526,121.69617609999999,apple
112,73,48,29.24406380000001,77.32017166,5.7074889870000005,90.66727868,banana
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram
104,35,28,27.51006055,50.66687215,6.9837323929999995,143.9955548,coffee
63,37,43,23.41798979,85.08640476,6.661957897000001,185.74467280000002,jute
27,62,24,28.63005477,66.770943,7.353876754,62.273734499999996,blackgram
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,kidneybeans
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea
21,21,38,22.5526059,89.32594859999998,6.327673765,104.89556429999999,pomegranate
2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,pigeonpeas
44,57,53,42.30495821,90.51431779,6.93172108,74.876786,papaya
98,26,49,27.29035669,90.53330091,6.130160472999999,23.49535234,muskmelon
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,blackgram
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,lentil
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
43,64,47,38.58954491,91.58076549,6.8256647820000005,102.27082309999999,papaya
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean
8,16,6,12.22816189,90.26457428,7.106650373,108.4161706,orange
113,30,50,26.03967219,83.9862443,6.277484042999999,43.87712348,watermelon
34,16,25,30.07202564,50.96040505,6.10729559,92.09609766,mango
40,143,201,24.97256132,82.72828653,6.4767577229999995,66.70016285,grapes
10,75,17,18.43966037,68.05394959,7.732194787999999,39.00992137,lentil
115,17,55,27.57826922,94.11878202,6.776533055,28.08253201,muskmelon
10,56,16,28.17432665,81.04554836,6.8281874989999976,36.35720652,mungbean
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
32,57,18,15.53834801,23.75560241,5.695422862999999,107.3850593,kidneybeans
8,23,44,18.47412402,89.68919664,7.130837931,108.47585090000001,pomegranate
6,66,15,34.93174223,30.40046769,6.3458060110000005,159.2649827,pigeonpeas
108,89,53,29.12036889,80.18080728,5.908770059,112.39820549999999,banana
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
118,40,35,26.35034208,58.50650238,7.460174812000001,121.5586297,coffee
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon
38,14,30,26.92449525,91.20106019,5.5707453860000005,194.90221359999998,coconut
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,mothbeans
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton
15,54,15,29.97604322,57.03184356,8.35495812,44.86052932,mothbeans
82,46,41,23.325013100000003,79.79609448,6.581693772,187.3096148,jute
34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,coconut
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,grapes
86,6,53,25.92030221,83.47202566,6.921847887999999,42.10681516,watermelon
57,57,51,39.01793345,91.48815629,6.99223441,105.88415309999999,papaya
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean
39,28,10,31.34920143,91.48247612,7.1819076729999995,109.15498229999999,orange
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,coffee
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
106,85,53,27.199459700000002,78.80860679999998,5.91505509,99.72430835,banana
24,33,35,29.26382931,54.82257868,5.342866119,100.7586226,mango
103,40,30,27.30901814,55.196224,6.3483162570000005,141.48316440000005,coffee
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,coffee
16,65,16,18.13027797,62.45851612,6.078724107,50.6128521,lentil
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange
8,28,37,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,apple
38,36,21,28.02952623,84.8845732,6.5563729660000005,36.12042927,mungbean
77,58,19,22.8056033,56.50768935,5.7916499329999995,101.59527940000001,maize
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
88,50,40,25.63215038,79.95150917,7.0518224720000005,182.25822769999996,jute
38,72,21,28.23416057,49.442134499999995,5.902103172,186.5008581,pigeonpeas
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
89,52,45,24.89326318,77.01222585,7.207457207999999,196.469984,jute
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton
96,18,50,25.331044600000002,84.30533791,6.904241707000001,41.53218699,watermelon
17,64,17,21.02213209,24.93896255,5.662699104,124.61184709999999,kidneybeans
32,120,204,10.38004759,83.44518113,6.138958698,67.39173790000001,grapes
85,53,38,24.90075709,73.84186449,6.5880173079999995,153.8990984,jute
60,49,44,20.77576147,84.49774397,6.244841491,240.08106469999998,rice
28,67,21,21.79792649,63.73086065,6.250994222999999,46.62370222,lentil
107,45,25,23.0865933,83.55546146,7.2277455160000015,71.84080724,cotton
89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana
32,57,22,28.6899851,87.50436797,6.769415887999999,44.56598352,mungbean
105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana
8,72,17,20.57341244,19.752021799999998,5.711439256,87.87869161,kidneybeans
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
108,24,31,24.12832546,56.18107663,6.431899747999999,147.27578180000003,coffee
93,41,17,25.6217169,66.50415474,6.047906679,105.46547029999999,maize
12,20,10,24.45132792,93.10527686,6.528354932,109.4711098,orange
14,19,14,17.68408797,94.35815354,6.699164936,108.0638166,orange
3,63,16,24.38041875,61.18458224,6.868881707999999,53.13946695,lentil
50,59,47,40.76998685,92.09278584,6.7479757320000004,209.8678411,papaya
26,15,6,17.22034507,94.78797376,6.912033409,108.00543429999999,orange
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice
89,25,50,27.04863538,91.34685096,6.375923383,25.08146686,muskmelon
37,5,34,25.79490531,93.84150618,5.779032666,152.42387119999995,coconut
0,27,38,22.44581266,89.90147027,6.7380162210000005,109.39059979999999,pomegranate
12,71,19,24.91079638,60.71367427,7.1426110560000025,42.19740397,lentil
3,67,24,17.00067625,19.90790546,5.520880013999999,103.2926407,kidneybeans
16,29,13,32.31944397,93.67804556,6.1969079439999994,117.6236473,orange
74,58,18,20.03728219,56.35606753,6.727303282,109.02414099999999,maize
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans
33,77,15,23.89736406,66.32102048,7.8022124370000006,40.74536757,lentil
109,29,28,23.26316991,60.51600210000001,6.724688502999999,194.1755471,coffee
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,jute
37,23,12,31.52675982,90.50621806,6.395258356,113.11693980000001,orange
7,60,25,28.275317100000002,82.76020821,6.3976367089999995,56.04995423,mungbean
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,grapes
11,72,20,19.52226241,24.92607153,5.9511774520000005,113.334026,kidneybeans
30,137,200,22.91430043,90.70475565,5.603413172000001,118.6044645,apple
